year,noc,iso_code,is_host,log_gdp_per_capita,log_population,total_medals,medals_awarded,medal_share
1960,USA,USA,1,8.006322523817438,19.01218825568802,10,81,0.12345679012345678
1960,FIN,FIN,0,7.083266270381181,15.303827520098062,8,81,0.09876543209876543
1960,GER,DEU,0,7.058003498378269,18.10343116255447,8,81,0.09876543209876543
1960,SWE,SWE,0,7.663109082068011,15.828365616195905,7,81,0.08641975308641975
1960,AUT,AUT,0,6.845789248477964,15.768189035832355,6,81,0.07407407407407407
1960,NOR,NOR,0,7.2802047035998525,15.091219387887241,6,81,0.07407407407407407
1960,CAN,CAN,0,7.72530729884267,16.7008338158248,4,81,0.04938271604938271
1960,FRA,FRA,0,7.17533384770307,17.674406251380127,3,81,0.037037037037037035
1960,NED,NLD,0,7.053054883881942,16.256694395341796,2,81,0.024691358024691357
1960,SUI,CHE,0,7.577793144703437,15.488454020705232,2,81,0.024691358024691357
1960,ITA,ITA,0,6.729711579433663,17.73151960854848,1,81,0.012345679012345678
1964,NOR,NOR,0,7.575940097215043,15.122312205969225,15,103,0.14563106796116504
1964,AUT,AUT,1,7.15105994455725,15.792891826634191,12,103,0.11650485436893204
1964,FIN,FIN,0,7.453332896936031,15.330317519865613,10,103,0.0970873786407767
1964,GER,DEU,0,7.400898625295442,18.13723418238043,9,103,0.08737864077669903
1964,FRA,FRA,0,7.544924850447873,17.715491184131217,7,103,0.06796116504854369
1964,SWE,SWE,0,7.993292070116707,15.85169928849823,7,103,0.06796116504854369
1964,USA,USA,0,8.17900752816344,19.07242763781336,7,103,0.06796116504854369
1964,ITA,ITA,0,7.148189436885375,17.76049143661028,4,103,0.038834951456310676
1964,CAN,CAN,0,7.848402368240475,16.77691015243776,3,103,0.02912621359223301
1964,NED,NLD,0,7.419578921250125,16.31095482486498,2,103,0.019417475728155338
1964,GBR,GBR,0,7.466392369643356,17.80449460452855,1,103,0.009708737864077669
1968,NOR,NOR,0,7.893464979853377,15.154840661931477,14,104,0.1346153846153846
1968,AUT,AUT,0,7.429913713194159,15.819069881369275,11,104,0.10576923076923077
1968,FRA,FRA,1,7.83128306248433,17.749549034660095,9,104,0.08653846153846154
1968,NED,NLD,0,7.768262405576018,16.359450053561286,9,104,0.08653846153846154
1968,SWE,SWE,0,8.282251052791812,15.883925656239468,8,104,0.07692307692307693
1968,FRG,DEU,0,7.613365272387405,18.16313095328424,7,104,0.0673076923076923
1968,SUI,CHE,0,8.135491556548974,15.618492485841436,6,104,0.057692307692307696
1968,FIN,FIN,0,7.563872124114242,15.347304500119217,5,104,0.04807692307692308
1968,GDR,DEU,0,7.613365272387405,18.16313095328424,5,104,0.04807692307692308
1968,USA,USA,0,8.45203333658422,19.117351708685927,5,104,0.04807692307692308
1968,ITA,ITA,0,7.449205038837362,17.790240721107228,4,104,0.038461538461538464
1968,CAN,CAN,0,8.152842356060273,16.847767606200637,3,104,0.028846153846153848
1972,GDR,DEU,0,8.249036668931058,18.18100696818652,14,105,0.13333333333333333
1972,NOR,NOR,0,8.392440454349543,15.184914068448771,12,105,0.11428571428571428
1972,SUI,CHE,0,8.68012382713359,15.649843447071385,10,105,0.09523809523809523
1972,NED,NLD,0,8.321297922117061,16.405422135196105,9,105,0.08571428571428572
1972,USA,USA,0,8.715062911602612,19.162122727915616,8,105,0.0761904761904762
1972,AUT,AUT,0,7.976799980119678,15.836289746630843,5,105,0.047619047619047616
1972,FIN,FIN,0,8.063984940607627,15.350150999056249,5,105,0.047619047619047616
1972,FRG,DEU,0,8.249036668931058,18.18100696818652,5,105,0.047619047619047616
1972,ITA,ITA,0,7.892561761071479,17.811531730220587,5,105,0.047619047619047616
1972,SWE,SWE,0,8.702575148698966,15.910123923261333,4,105,0.0380952380952381
1972,FRA,FRA,0,8.245148078099872,17.78509195500837,3,105,0.02857142857142857
1972,JPN,JPN,1,8.0167925731898,18.490094860036685,3,105,0.02857142857142857
1972,CAN,CAN,0,8.538315943139363,16.91643416786608,1,105,0.009523809523809525
1972,ESP,ESP,0,7.442837127760587,17.35949339353699,1,105,0.009523809523809525
1976,GDR,DEU,0,8.803749450241636,18.176529952587277,19,111,0.17117117117117117
1976,FRG,DEU,0,8.803749450241636,18.176529952587277,10,111,0.09009009009009009
1976,USA,USA,0,9.05861632484169,19.20016615832523,10,111,0.09009009009009009
1976,FIN,FIN,0,8.815858445278014,15.36851863813722,7,111,0.06306306306306306
1976,NOR,NOR,0,9.096858257162088,15.20832163906432,7,111,0.06306306306306306
1976,AUT,AUT,1,8.640497868205216,15.839112301342562,6,111,0.05405405405405406
1976,NED,NLD,0,8.9793350562112,16.438296001303588,6,111,0.05405405405405406
1976,SUI,CHE,0,9.293299244836865,15.656457572712792,5,111,0.04504504504504504
1976,ITA,ITA,0,8.304592573707211,17.835818478821885,4,111,0.036036036036036036
1976,CAN,CAN,0,9.08692304296979,16.97037286518978,3,111,0.02702702702702703
1976,LIE,LIE,0,9.33488704640444,10.088222860554016,2,111,0.018018018018018018
1976,SWE,SWE,0,9.292152520417307,15.922358830558895,2,111,0.018018018018018018
1976,FRA,FRA,0,8.823546354681984,17.80878876031907,1,111,0.009009009009009009
1976,GBR,GBR,0,8.32800840548135,17.844640245929146,1,111,0.009009009009009009
1980,GDR,DEU,0,9.40777875985717,18.175912249933393,23,115,0.2
1980,USA,USA,1,9.43944941480793,19.24145127396911,12,115,0.10434782608695652
1980,NOR,NOR,0,9.666006769251991,15.222984049545413,10,115,0.08695652173913043
1980,FIN,FIN,0,9.32589318953376,15.379853819400871,9,115,0.0782608695652174
1980,AUT,AUT,0,9.2897956912478,15.836983019067365,7,115,0.06086956521739131
1980,FRG,DEU,0,9.40777875985717,18.175912249933393,5,115,0.043478260869565216
1980,SUI,CHE,0,9.87271285962152,15.659136090849572,5,115,0.043478260869565216
1980,LIE,LIE,0,9.95031099971192,10.146904208689891,4,115,0.034782608695652174
1980,NED,NLD,0,9.533304643283431,16.46521104767801,4,115,0.034782608695652174
1980,SWE,SWE,0,9.745256163747012,15.933034063707147,4,115,0.034782608695652174
1980,CAN,CAN,0,9.324401176666392,17.014822940529285,2,115,0.017391304347826087
1980,ITA,ITA,0,9.045042343181333,17.848580298494138,2,115,0.017391304347826087
1980,BUL,BGR,0,7.713696608199886,15.997230558139451,1,115,0.008695652173913044
1980,FRA,FRA,0,9.438683497064437,17.827816522047936,1,115,0.008695652173913044
1980,GBR,GBR,0,9.213541451052818,17.846457565676534,1,115,0.008695652173913044
1980,HUN,HUN,0,7.677039927168176,16.18679319884155,1,115,0.008695652173913044
1984,GDR,DEU,0,9.14284181388846,18.170406010715492,24,117,0.20512820512820512
1984,FIN,FIN,0,9.290095517286051,15.40102517680624,13,117,0.1111111111111111
1984,NOR,NOR,0,9.615104285410853,15.236230258559065,9,117,0.07692307692307693
1984,SWE,SWE,0,9.47884193609465,15.93616661711715,8,117,0.06837606837606838
1984,USA,USA,0,9.748074229201588,19.27860056250019,8,117,0.06837606837606838
1984,SUI,CHE,0,9.740453542416024,15.678328652428922,5,117,0.042735042735042736
1984,CAN,CAN,0,9.541834132974316,17.058378379316984,4,117,0.03418803418803419
1984,FRG,DEU,0,9.14284181388846,18.170406010715492,4,117,0.03418803418803419
1984,FRA,FRA,0,9.139047815151738,17.847679760138366,3,117,0.02564102564102564
1984,ITA,ITA,0,8.956422324866786,17.851108115792588,2,117,0.017094017094017096
1984,LIE,LIE,0,9.846830841199203,10.188516107522345,2,117,0.017094017094017096
1984,AUT,AUT,0,9.100062038307124,15.83857141270794,1,117,0.008547008547008548
1984,GBR,GBR,0,9.00934894560925,17.84837098742955,1,117,0.008547008547008548
1984,JPN,JPN,0,9.324334224620094,18.60369372832184,1,117,0.008547008547008548
1988,URS,RUS,0,8.236955282402079,18.80496988216095,29,138,0.21014492753623187
1988,GDR,DEU,0,9.79795915338454,18.174071757694687,25,138,0.18115942028985507
1988,SUI,CHE,0,10.39483766186645,15.70157758332536,15,138,0.10869565217391304
1988,AUT,AUT,0,9.770514053881632,15.84172496290399,10,138,0.07246376811594203
1988,FRG,DEU,0,9.79795915338454,18.174071757694687,8,138,0.057971014492753624
1988,FIN,FIN,0,10.000785308512045,15.414186972638268,7,138,0.050724637681159424
1988,NED,NLD,0,9.785301599086454,16.507437745680008,7,138,0.050724637681159424
1988,SWE,SWE,0,10.106392643887649,15.948076784761446,6,138,0.043478260869565216
1988,USA,USA,0,9.971940835228784,19.31472177689129,6,138,0.043478260869565216
1988,CAN,CAN,1,9.852855740785683,17.10360445029424,5,138,0.036231884057971016
1988,ITA,ITA,0,9.666558764466505,17.852036865169698,5,138,0.036231884057971016
1988,NOR,NOR,0,10.09440875403455,15.252851583060936,5,138,0.036231884057971016
1988,FRA,FRA,0,9.772788946563889,17.869001632114646,2,138,0.014492753623188406
1988,JPN,JPN,0,10.146429071245883,18.62425812001341,1,138,0.007246376811594203
1988,LIE,LIE,0,10.635099009219998,10.23810091967234,1,138,0.007246376811594203
1992,GER,DEU,0,10.187156121194436,18.205314347021268,26,171,0.15204678362573099
1992,EUN,RUS,0,8.038771101155383,18.81635270198715,23,171,0.13450292397660818
1992,AUT,AUT,0,10.11790158731896,15.874839821911182,21,171,0.12280701754385964
1992,NOR,NOR,0,10.326268048824074,15.270958011068462,20,171,0.11695906432748537
1992,ITA,ITA,0,10.056081851797492,17.85499559716498,14,171,0.08187134502923976
1992,USA,USA,0,10.143251842001405,19.362693801982303,11,171,0.06432748538011696
1992,FRA,FRA,1,10.069638096136794,17.890444344106477,9,171,0.05263157894736842
1992,CAN,CAN,0,9.949909702255187,17.16088735989898,7,171,0.04093567251461988
1992,FIN,FIN,0,10.013243455442487,15.433311800056789,7,171,0.04093567251461988
1992,JPN,JPN,0,10.37326585051906,18.639213682708892,7,171,0.04093567251461988
1992,KOR,KOR,0,9.03445761148175,17.59395558682574,4,171,0.023391812865497075
1992,NED,NLD,0,10.08327328635579,16.535763732332676,4,171,0.023391812865497075
1992,SWE,SWE,0,10.396762928724344,15.97515637118858,4,171,0.023391812865497075
1992,CHN,CHN,0,5.907600897830996,20.87596117255955,3,171,0.017543859649122806
1992,SUI,CHE,0,10.61431963312287,15.743455145569891,3,171,0.017543859649122806
1992,TCH,CZE,0,8.13056251390738,16.14950933378648,3,171,0.017543859649122806
1992,LUX,LUX,0,10.585848307369591,12.879463447724442,2,171,0.011695906432748537
1992,ESP,ESP,0,9.686616782553036,17.483107257433787,1,171,0.005847953216374269
1992,NZL,NZL,0,9.37527322116191,15.077289899386232,1,171,0.005847953216374269
1994,NOR,NOR,1,10.285882213785287,15.282604186647928,26,183,0.14207650273224043
1994,GER,DEU,0,10.21104428481911,18.21535682568845,24,183,0.13114754098360656
1994,RUS,RUS,0,7.886872068028908,18.815475202640226,23,183,0.12568306010928962
1994,ITA,ITA,0,9.872110409187252,17.855810676434466,20,183,0.1092896174863388
1994,CAN,CAN,0,9.90336873234406,17.18282924975838,13,183,0.07103825136612021
1994,USA,USA,0,10.22900187766511,19.38814356286876,13,183,0.07103825136612021
1994,AUT,AUT,0,10.148245659299416,15.886934796787918,9,183,0.04918032786885246
1994,SUI,CHE,0,10.6710874712774,15.760533885338027,9,183,0.04918032786885246
1994,FIN,FIN,0,9.917306188796609,15.442460829973667,6,183,0.03278688524590164
1994,KOR,KOR,0,9.281170517340833,17.614175373650166,6,183,0.03278688524590164
1994,FRA,FRA,0,10.058776092346998,17.898539050970328,5,183,0.0273224043715847
1994,JPN,JPN,0,10.594971226648312,18.645247282340065,5,183,0.0273224043715847
1994,NED,NLD,0,10.11385328104781,16.54876303037667,4,183,0.02185792349726776
1994,CHN,CHN,0,6.164740890791202,20.898759973189456,3,183,0.01639344262295082
1994,KAZ,KAZ,0,7.128364686209577,16.65129535769849,3,183,0.01639344262295082
1994,SLO,SVN,0,9.01722868519713,14.503365258024012,3,183,0.01639344262295082
1994,SWE,SWE,0,10.167601043887972,15.988071813947796,3,183,0.01639344262295082
1994,BLR,BLR,0,7.286197134964802,16.140537439661134,2,183,0.01092896174863388
1994,GBR,GBR,0,9.888842743811862,17.873636143976217,2,183,0.01092896174863388
1994,UKR,UKR,0,6.916808232238958,17.768214709594016,2,183,0.01092896174863388
1994,AUS,AUS,0,9.806735885288791,16.695016159100053,1,183,0.00546448087431694
1994,UZB,UZB,0,6.353028410599329,16.92739302369991,1,183,0.00546448087431694
1998,GER,DEU,0,10.218150254441172,18.22280518844434,29,205,0.14146341463414633
1998,NOR,NOR,0,10.457472183967758,15.30424056146743,25,205,0.12195121951219512
1998,RUS,RUS,0,7.514724453242388,18.810495921571096,18,205,0.08780487804878048
1998,AUT,AUT,0,10.211430393298333,15.892046507496673,17,205,0.08292682926829269
1998,CAN,CAN,0,9.953447749507502,17.221867041876138,15,205,0.07317073170731707
1998,USA,USA,0,10.399818949225777,19.435382298211984,13,205,0.06341463414634146
1998,FIN,FIN,0,10.16585128506099,15.455186265373142,12,205,0.05853658536585366
1998,NED,NLD,0,10.237251905038868,16.569630336905867,11,205,0.05365853658536585
1998,ITA,ITA,0,10.015260732441934,17.85692441579901,10,205,0.04878048780487805
1998,JPN,JPN,1,10.38664663106595,18.65496203967703,10,205,0.04878048780487805
1998,CHN,CHN,0,6.727545908268725,20.93993648414454,8,205,0.03902439024390244
1998,FRA,FRA,0,10.121393534884714,17.91302814747334,8,205,0.03902439024390244
1998,SUI,CHE,0,10.66149945256204,15.77701294242639,7,205,0.03414634146341464
1998,KOR,KOR,0,9.057589529002422,17.650360964679567,6,205,0.02926829268292683
1998,CZE,CZE,0,8.783640854806197,16.1471079932382,3,205,0.014634146341463415
1998,SWE,SWE,0,10.328930661694963,15.996038067425516,3,205,0.014634146341463415
1998,BLR,BLR,0,7.320742237360904,16.125266181149136,2,205,0.00975609756097561
1998,KAZ,KAZ,0,7.254597063046774,16.56583993138729,2,205,0.00975609756097561
1998,AUS,AUS,0,9.976553997102844,16.73907979751476,1,205,0.004878048780487805
1998,BEL,BEL,0,10.14007801921341,16.13819313674025,1,205,0.004878048780487805
1998,BUL,BGR,0,7.506838268645762,15.926545965660289,1,205,0.004878048780487805
1998,DEN,DNK,0,10.414707751344018,15.484013099588203,1,205,0.004878048780487805
1998,UKR,UKR,0,6.723034997938744,17.73509948945408,1,205,0.004878048780487805
2002,GER,DEU,0,10.145907875295809,18.228169387034765,36,233,0.15450643776824036
2002,USA,USA,1,10.545282480583818,19.47716877733218,34,233,0.1459227467811159
2002,NOR,NOR,0,10.672913994986944,15.328031981169564,24,233,0.10300429184549356
2002,AUT,AUT,0,10.178648899894386,15.90514460414117,17,233,0.07296137339055794
2002,CAN,CAN,0,10.096420081388622,17.26101821102844,17,233,0.07296137339055794
2002,ITA,ITA,0,10.019108093371198,17.860136445084052,13,233,0.055793991416309016
2002,RUS,RUS,0,7.77381721958552,18.794355841924887,13,233,0.055793991416309016
2002,FRA,FRA,0,10.09181490098612,17.939610375621637,11,233,0.04721030042918455
2002,SUI,CHE,0,10.656288023744708,15.801294091751815,11,233,0.04721030042918455
2002,CHN,CHN,0,7.059239186187989,20.970438366059984,8,233,0.034334763948497854
2002,NED,NLD,0,10.290331460156295,16.597364289644478,8,233,0.034334763948497854
2002,FIN,FIN,0,10.203199077410677,15.464284176939662,7,233,0.030042918454935622
2002,SWE,SWE,0,10.307544258194069,16.00436217973655,7,233,0.030042918454935622
2002,CRO,HRV,0,8.735457923252417,15.274631034295927,4,233,0.017167381974248927
2002,KOR,KOR,0,9.520977630545485,17.67928270976891,4,233,0.017167381974248927
2002,BUL,BGR,0,7.646345545754941,15.874387209399332,3,233,0.012875536480686695
2002,CZE,CZE,0,8.99977490706329,16.137595879595455,3,233,0.012875536480686695
2002,EST,EST,0,8.583576841931535,14.137122931678464,3,233,0.012875536480686695
2002,AUS,AUS,0,9.920103540194072,16.785679352333634,2,233,0.008583690987124463
2002,GBR,GBR,0,10.314228776791802,17.899307674262147,2,233,0.008583690987124463
2002,JPN,JPN,0,10.39881754604962,18.663195456945832,2,233,0.008583690987124463
2002,POL,POL,0,8.560913724728092,17.459140626945604,2,233,0.008583690987124463
2002,BLR,BLR,0,7.299378808480101,16.104559245819985,1,233,0.004291845493562232
2002,SLO,SVN,0,9.362127957154552,14.505918991578229,1,233,0.004291845493562232
2006,GER,DEU,0,10.518141563712833,18.22681016519934,29,252,0.11507936507936507
2006,USA,USA,0,10.742940454691436,19.513878104993,25,252,0.0992063492063492
2006,CAN,CAN,0,10.609156929553448,17.298938805381106,24,252,0.09523809523809523
2006,AUT,AUT,0,10.606144566693516,15.927980724596765,23,252,0.09126984126984126
2006,RUS,RUS,0,8.842199907592871,18.7787022398829,22,252,0.0873015873015873
2006,NOR,NOR,0,11.217674818767335,15.354671274519818,19,252,0.07539682539682539
2006,SUI,CHE,0,10.985479696241176,15.828269147523764,14,252,0.05555555555555555
2006,SWE,SWE,0,10.747882121535374,16.02164036577101,14,252,0.05555555555555555
2006,CHN,CHN,0,7.663528357467109,20.99407129714174,11,252,0.04365079365079365
2006,ITA,ITA,1,10.420408423466538,17.882824067658635,11,252,0.04365079365079365
2006,KOR,KOR,0,10.026134559576867,17.695801215911906,11,252,0.04365079365079365
2006,FIN,FIN,0,10.62653373902748,15.476832510261453,9,252,0.03571428571428571
2006,FRA,FRA,0,10.503190872626895,17.968475255930883,9,252,0.03571428571428571
2006,NED,NLD,0,10.71715941235824,16.609499955920807,9,252,0.03571428571428571
2006,CZE,CZE,0,9.6329299371055,16.14170523826408,4,252,0.015873015873015872
2006,CRO,HRV,0,9.3502075233375,15.27671733544301,3,252,0.011904761904761904
2006,EST,EST,0,9.444738757178463,14.113249391248916,3,252,0.011904761904761904
2006,AUS,AUS,0,10.50940945180179,16.833540676501258,2,252,0.007936507936507936
2006,POL,POL,0,9.1126013260015,17.45680737730162,2,252,0.007936507936507936
2006,UKR,UKR,0,7.76916487337662,17.67157030800717,2,252,0.007936507936507936
2006,BLR,BLR,0,8.255366892999483,16.07778644160794,1,252,0.003968253968253968
2006,BUL,BGR,0,8.416963171756443,15.843793269899995,1,252,0.003968253968253968
2006,GBR,GBR,0,10.707620520232188,17.923870116377337,1,252,0.003968253968253968
2006,JPN,JPN,0,10.491039356606768,18.66639954587611,1,252,0.003968253968253968
2006,LAT,LVA,0,9.12823375932021,14.6122773897565,1,252,0.003968253968253968
2006,SVK,SVK,0,9.485536984932573,15.496907019911712,1,252,0.003968253968253968
2010,USA,USA,0,10.792255175108531,19.5500751219399,37,258,0.1434108527131783
2010,GER,DEU,0,10.654832096152022,18.219505732455367,30,258,0.11627906976744186
2010,CAN,CAN,1,10.769761366706089,17.342044655751035,26,258,0.10077519379844961
2010,NOR,NOR,0,11.38694501883723,15.402549884515508,23,258,0.08914728682170543
2010,AUT,AUT,0,10.749594833222146,15.939376079220304,17,258,0.06589147286821706
2010,KOR,KOR,0,10.088773962000674,17.71857580217899,14,258,0.05426356589147287
2010,RUS,RUS,0,9.27565892328376,18.77730196244791,13,258,0.050387596899224806
2010,SWE,SWE,0,10.869379089617276,16.053890514241985,12,258,0.046511627906976744
2010,CHN,CHN,0,8.440149178531815,21.01422129601767,11,258,0.04263565891472868
2010,FRA,FRA,0,10.61385611934683,17.99030099273188,11,258,0.04263565891472868
2010,SUI,CHE,0,11.245456039545951,15.872822664929894,9,258,0.03488372093023256
2010,NED,NLD,0,10.845557795934337,16.625840173001556,8,258,0.031007751937984496
2010,CZE,CZE,0,9.91147732451675,16.16444569760385,6,258,0.023255813953488372
2010,POL,POL,0,9.438887837221882,17.45422224194527,6,258,0.023255813953488372
2010,FIN,FIN,0,10.74734289213496,15.495099710717025,5,258,0.01937984496124031
2010,ITA,ITA,0,10.487290251657043,17.90684069804439,5,258,0.01937984496124031
2010,JPN,JPN,0,10.71370987903484,18.668087547402255,5,258,0.01937984496124031
2010,AUS,AUS,0,10.86501727259481,16.907995152754747,3,258,0.011627906976744186
2010,BLR,BLR,0,8.705277917827742,16.065099433736183,3,258,0.011627906976744186
2010,CRO,HRV,0,9.527321418973202,15.273061526386682,3,258,0.011627906976744186
2010,SLO,SVN,0,10.05748858269996,14.532658892600049,3,258,0.011627906976744186
2010,SVK,SVK,0,9.735036277925136,15.50032084286102,3,258,0.011627906976744186
2010,LAT,LVA,0,9.322634519663788,14.556282938672206,2,258,0.007751937984496124
2010,EST,EST,0,9.59313061077466,14.101797908243109,1,258,0.003875968992248062
2010,GBR,GBR,0,10.59107737084605,17.954929898787338,1,258,0.003875968992248062
2010,KAZ,KAZ,0,9.08171986118615,16.639078118905598,1,258,0.003875968992248062
2014,RUS,RUS,1,9.550767111821791,18.786969884039504,29,295,0.09830508474576272
2014,USA,USA,0,10.914605088344972,19.581508733097717,28,295,0.09491525423728814
2014,NOR,NOR,0,11.48931589131612,15.452024970975842,27,295,0.09152542372881356
2014,CAN,CAN,0,10.838812834800432,17.38318423175861,25,295,0.0847457627118644
2014,NED,NLD,0,10.886637052063444,16.64075150083295,24,295,0.08135593220338982
2014,GER,DEU,0,10.798750729250589,18.209743639911967,19,295,0.06440677966101695
2014,AUT,AUT,0,10.8457378455288,15.961015551234,17,295,0.0576271186440678
2014,FRA,FRA,0,10.672392409943663,18.009882444628186,15,295,0.05084745762711865
2014,SWE,SWE,0,10.995133271732174,16.08723533211137,15,295,0.05084745762711865
2014,SUI,CHE,0,11.393296875404394,15.918259484957348,11,295,0.03728813559322034
2014,CHN,CHN,0,8.95944862254895,21.03943332022726,9,295,0.030508474576271188
2014,CZE,CZE,0,9.905406526029456,16.16929690611039,9,295,0.030508474576271188
2014,ITA,ITA,0,10.492061390931296,17.915186002417567,8,295,0.02711864406779661
2014,JPN,JPN,0,10.557774231459613,18.66186851472436,8,295,0.02711864406779661
2014,KOR,KOR,0,10.330945412269772,17.7423563412068,8,295,0.02711864406779661
2014,SLO,SVN,0,10.086353469726404,14.539177244190956,8,295,0.02711864406779661
2014,BLR,BLR,0,9.028976527583128,16.06136814426455,6,295,0.020338983050847456
2014,POL,POL,0,9.565373862866483,17.453405485806353,6,295,0.020338983050847456
2014,FIN,FIN,0,10.821252718529616,15.513236232461892,5,295,0.01694915254237288
2014,GBR,GBR,0,10.7736556449263,17.984034518360627,5,295,0.01694915254237288
2014,LAT,LVA,0,9.62811701984983,14.50554389554323,5,295,0.01694915254237288
2014,AUS,AUS,0,11.047984298610723,16.97147580520884,3,295,0.010169491525423728
2014,UKR,UKR,0,8.02450482307732,17.643551339337606,2,295,0.006779661016949152
2014,CRO,HRV,0,9.560062267855985,15.250975487081362,1,295,0.003389830508474576
2014,KAZ,KAZ,0,9.427683892197658,16.69562348464815,1,295,0.003389830508474576
2014,SVK,SVK,0,9.840064621677833,15.505357080352276,1,295,0.003389830508474576
2018,NOR,NOR,0,11.324096895952724,15.485463156760362,39,307,0.1270358306188925
2018,GER,DEU,0,10.797863268279754,18.233215364356088,31,307,0.10097719869706841
2018,CAN,CAN,0,10.748049734874089,17.42838924972679,29,307,0.09446254071661238
2018,USA,USA,0,11.042919826746584,19.610137428365576,23,307,0.0749185667752443
2018,NED,NLD,0,10.895907071956978,16.66225685827024,20,307,0.06514657980456026
2018,KOR,KOR,1,10.47344824192606,17.75874261487384,17,307,0.05537459283387622
2018,ROC,RUS,0,9.324729895762207,18.794986096844053,17,307,0.05537459283387622
2018,FRA,FRA,0,10.631475112939684,18.022563791896093,15,307,0.048859934853420196
2018,SUI,CHE,0,11.35296055531743,15.95726106685996,15,307,0.048859934853420196
2018,AUT,AUT,0,10.843379081364969,15.994856369528714,14,307,0.04560260586319218
2018,SWE,SWE,0,10.897081034549574,16.135465321012795,14,307,0.04560260586319218
2018,JPN,JPN,0,10.590393625293084,18.658208346993412,13,307,0.04234527687296417
2018,ITA,ITA,0,10.460359814511666,17.912329689246626,10,307,0.03257328990228013
2018,CHN,CHN,0,9.21887027022332,21.061707561423983,9,307,0.029315960912052116
2018,CZE,CZE,0,10.07348063255074,16.17918397701203,7,307,0.02280130293159609
2018,FIN,FIN,0,10.812839259033646,15.523077401061927,6,307,0.019543973941368076
2018,GBR,GBR,0,10.685171974390524,18.009534528872233,5,307,0.016286644951140065
2018,AUS,AUS,0,10.957976809365098,17.032915621793506,3,307,0.009771986970684038
2018,BLR,BLR,0,8.75778955290672,16.06033782221103,3,307,0.009771986970684038
2018,SVK,SVK,0,9.881925334928212,15.510533513991314,3,307,0.009771986970684038
2018,ESP,ESP,0,10.328834411872553,17.661009306652936,2,307,0.006514657980456026
2018,NZL,NZL,0,10.67491612727236,15.404868204564185,2,307,0.006514657980456026
2018,POL,POL,0,9.65875078880416,17.452432023145967,2,307,0.006514657980456026
2018,SLO,SVN,0,10.161536678113812,14.544938557497323,2,307,0.006514657980456026
2018,BEL,BEL,0,10.76821569143367,16.251494259767462,1,307,0.003257328990228013
2018,HUN,HUN,0,9.717462569588667,16.088354124023635,1,307,0.003257328990228013
2018,KAZ,KAZ,0,9.156146588209843,16.756402569862583,1,307,0.003257328990228013
2018,LAT,LVA,0,9.75569327209736,14.47156523911666,1,307,0.003257328990228013
2018,LIE,LIE,0,12.072477108468131,10.55179425862292,1,307,0.003257328990228013
2018,UKR,UKR,0,8.025860263854936,17.6268046829113,1,307,0.003257328990228013
2022,NOR,NOR,0,11.60157277507734,15.512433018758106,37,328,0.11280487804878049
2022,ROC,RUS,0,9.65628272768621,18.78696787346078,32,328,0.0975609756097561
2022,GER,DEU,0,10.829857675525991,18.236491199555413,27,328,0.08231707317073171
2022,CAN,CAN,0,10.937682214561326,17.47742813540461,26,328,0.07926829268292683
2022,USA,USA,0,11.247099451053963,19.626703408877766,25,328,0.07621951219512195
2022,AUT,AUT,0,10.86545451049114,16.017374468045748,18,328,0.054878048780487805
2022,JPN,JPN,0,10.436044645018049,18.644823707687568,18,328,0.054878048780487805
2022,SWE,SWE,0,10.91211843483171,16.165641326787558,18,328,0.054878048780487805
2022,ITA,ITA,0,10.481613934862926,17.893279619112445,17,328,0.051829268292682924
2022,NED,NLD,0,10.987380686598929,16.689130676231077,17,328,0.051829268292682924
2022,CHN,CHN,1,9.47044097178179,21.068396906014875,15,328,0.04573170731707317
2022,SUI,CHE,0,11.455238200870305,15.987655247728846,15,328,0.04573170731707317
2022,FRA,FRA,0,10.62105022535698,18.037727193613996,14,328,0.042682926829268296
2022,KOR,KOR,0,10.458016275856812,17.760437618400346,9,328,0.027439024390243903
2022,FIN,FIN,0,10.828550896777168,15.5304080611481,8,328,0.024390243902439025
2022,SLO,SVN,0,10.252745705085273,14.563181908009335,7,328,0.021341463414634148
2022,AUS,AUS,0,11.084747140319084,17.07432687534397,4,328,0.012195121951219513
2022,HUN,HUN,0,9.821628090283692,16.077802058475783,3,328,0.009146341463414634
2022,NZL,NZL,0,10.801608387947049,15.441156409242582,3,328,0.009146341463414634
2022,BEL,BEL,0,10.831820478616793,16.27340651465478,2,328,0.006097560975609756
2022,BLR,BLR,0,8.986527604380312,16.03776059222104,2,328,0.006097560975609756
2022,CZE,CZE,0,10.249988747456268,16.183145104047927,2,328,0.006097560975609756
2022,GBR,GBR,0,10.759115830498278,18.029177710860257,2,328,0.006097560975609756
2022,SVK,SVK,0,9.967297420687904,15.507772291802878,2,328,0.006097560975609756
2022,ESP,ESP,0,10.319546306626943,17.68224540204672,1,328,0.003048780487804878
2022,EST,EST,0,10.252043015445,14.114755521780507,1,328,0.003048780487804878
2022,LAT,LVA,0,9.914482074967555,14.446454089450157,1,328,0.003048780487804878
2022,POL,POL,0,9.84645212555858,17.42159923399901,1,328,0.003048780487804878
2022,UKR,UKR,0,8.342761443686468,17.530271332509532,1,328,0.003048780487804878
